,sell_price,rent_price,net_area,gross_area,effi_ratio,layout,orit,upd_dt,ttl_flt,prop_val,rpy_prd,inc_reqr,addr,latitude,longitude
8248,5.5,,392.0,530.0,74.0,,Northwest,2019-05-19,119.0,5500000.0,30,30798.0, 50 TAN KWAI TSUEN ROAD,22.4330013,113.9968051
8249,9.5,,616.0,787.0,78.0,3.0,Southwest,2019-05-20,2184.0,9500000.0,30,46664.0, 8 CHUNG WA ROAD,22.3167837,114.2660177
8250,16.0,,837.0,1067.0,78.0,3.0,Northwest,2019-05-03,784.0,16000000.0,30,74663.0, 12 TONG CHUN STREET,22.3108781,114.2600446
8251,11.0,,769.0,998.0,77.0,3.0,,2019-05-17,1959.0,11000000.0,30,51331.0, 8 PUNG LOI ROAD,22.3065322,114.2670898
8252,27.5,,1090.0,1260.0,87.0,3.0,,2019-05-19,925.0,27500000.0,30,128327.0, 15-43 BRAEMAR HILL ROAD,22.283115300000002,114.1989649
8253,7.3,,541.0,737.0,73.0,,,2019-05-14,1536.0,7300000.0,30,40878.0, 8 TUNG CHUNG WATERFRONT ROAD,22.292575699999997,113.9395915
8254,56.0,,1737.0,2338.0,74.0,3.0,Northwest,2019-05-07,376.0,56000000.0,30,261320.0, 23 TAI HANG DRIVE,22.273542000000003,114.19258
8255,13.32,,748.0,940.0,80.0,,,2019-05-15,9812.0,13320000.0,30,62157.0, 18A SOUTH HORIZON DRIVE,22.243262899999998,114.148493229945
8256,14.0,,1006.0,,,4.0,Southeast,2019-05-20,1100.0,14000000.0,30,65330.0, 18 TSING YING ROAD,22.377149199999998,113.98978
8257,8.6,,792.0,1136.0,70.0,3.0,,2019-05-20,1182.0,8600000.0,30,46664.0, 100 CASTLE PEAK ROAD TSING LUNG TAU,22.36562,114.0571428
8258,16.0,,660.0,826.0,80.0,3.0,Northwest,2019-05-11,1818.0,16000000.0,30,74663.0," 21-29,33-37 GRANDEUR ROAD, 6,26-28,32-34 GRANDEUR ROAD, 1-3,7-21 PARC OASIS ROAD, 35-51 TAT CHEE AVENUE",,
8259,20.39,,1364.0,1857.0,73.0,4.0,,2019-05-19,1676.0,20400000.0,30,95195.0, 8 KING LING ROAD,22.3051702,114.2523725
8260,35.0,,1103.0,1409.0,78.0,4.0,Northwest,2019-05-17,1312.0,35000000.0,30,163325.0, 18 HOI TING ROAD,22.315461300000003,114.1657855
8261,13.0,,541.0,,,,,2019-04-21,960.0,13000000.0,30,60664.0, 19 TONG YIN STREET,22.306720499999997,114.2587782
8262,7.6,,386.0,560.0,69.0,2.0,Southeast,2019-05-06,1760.0,7600000.0,30,42558.0, 8 FUK LEE STREET,22.3244323,114.1607266
8263,9.0,,465.0,617.0,75.0,2.0,,2019-05-06,1872.0,9000000.0,30,46664.0, 9 TONG TAK STREET,22.30859,114.2591557
8264,7.2,,227.0,,,,,2019-05-05,63.0,7200000.0,30,40318.0, 124-128 DES VOEUX ROAD WEST,22.2881863,114.1479476
8265,31.0,,818.0,1057.0,77.0,,,2019-05-11,1122.0,31000000.0,30,144659.0, 1 AUSTIN ROAD WEST,22.3031647,114.1602124
8266,5.3,,425.0,531.0,80.0,2.0,,2019-05-15,4516.0,5300000.0,30,29678.0, 86-105 TSUEN KING CIRCUIT,22.376395600000002,114.1105567
8267,13.5,,1281.0,1530.0,84.0,4.0,,2019-04-01,3968.0,13500000.0,30,62997.0, 2 TIN LUNG ROAD,22.45898455,114.005823857471
8268,12.76,,570.0,980.0,58.0,2.0,,2019-05-04,27.0,12760000.0,30,59544.0, 77 POK FU LAM ROAD,22.276936300000003,114.1303209
8269,7.9,,293.0,405.0,72.0,1.0,,2019-05-15,133.0,7900000.0,30,44238.0, 36 CLARENCE TERRACE,22.2851063,114.1366565
8270,8.9,,483.0,702.0,69.0,2.0,,2019-05-05,42.0,8900000.0,30,46664.0, 13-19 SING WOO ROAD,22.2693883,114.1854344
8271,9.38,,687.0,857.0,80.0,3.0,Northwest,2019-05-08,8072.0,9380000.0,30,46664.0," 2-16 EAST LAGUNA STREET, 1-39 LAGUNA STREET, 2-6 LAGUNA STREET, 3-11 SOUTH LAGUNA STREET, 2-4 SOUTH LAGUNA STREET",,
8272,48.0,,1269.0,1622.0,78.0,4.0,Southwest,2019-05-16,650.0,48000000.0,30,223989.0, 10 HOI FAI ROAD,22.3217806,114.1576887
8273,14.5,,623.0,725.0,86.0,2.0,Northeast,2019-04-16,924.0,14500000.0,30,67663.0, 1-5 FOOK YUM ROAD,22.2880357,114.1919144
8274,10.8,,471.0,653.0,72.0,2.0,Northeast,2019-05-12,1624.0,10800000.0,30,50397.0, 18 HOI TING ROAD,22.315461300000003,114.1657855
8275,7.65,,419.0,570.0,74.0,2.0,,2019-05-05,386.0,7650000.0,30,42838.0, 63-69 KAM PING STREET,22.2897464,114.200146
